#Procedure: <laser_setup.procedures.VVg.VVg>
#Parameters:
#	NPLC: 1
#	Vrange: 2 V
#	Burn-in time: 60 s
#	Chip group name: other
#	Chip number: 1
#	Drain-Source current: 5e-05 A
#	Information: testing 
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 1.0.0
#	Sample: other
#	Step time: 0.2 s
#	VG end: 10 V
#	VG start: -10 V
#	VG step: 0.2 V
#Metadata:
#	Start time: 1752767347.9190385
#Data:
Vg (V),VDS (V),t (s),Plate T (degC),Ambient T (degC),Clock (ms)
0.19999999999996376,0.0002861713,28.94931,nan,nan,nan
0.39999999999996305,0.0002861708,29.2339,nan,nan,nan
0.5999999999999623,0.0002860579,29.51935,nan,nan,nan
0.7999999999999616,0.0002859444,29.80463,nan,nan,nan
0.9999999999999609,0.0002859445,30.09009,nan,nan,nan
1.1999999999999602,0.0002857179,30.37548,nan,nan,nan
1.3999999999999595,0.0002860579,30.66122,nan,nan,nan
1.5999999999999588,0.0002850382,30.94575,nan,nan,nan
1.799999999999958,0.0002863973,31.23056,nan,nan,nan
1.9999999999999574,0.0002860575,31.52228,nan,nan,nan
2.1999999999999567,0.0002861711,31.85234,nan,nan,nan
2.399999999999956,0.0002866245,32.13737,nan,nan,nan
2.5999999999999552,0.0002858308,32.42285,nan,nan,nan
2.7999999999999545,0.000285718,32.70767,nan,nan,nan
2.999999999999954,0.0002854913,32.99627,nan,nan,nan
3.199999999999953,0.0002859445,33.28146,nan,nan,nan
3.3999999999999524,0.0002858312,33.56688,nan,nan,nan
3.5999999999999517,0.0002867375,33.8518,nan,nan,nan
3.799999999999951,0.000286511,34.13787,nan,nan,nan
3.9999999999999503,0.0002860577,34.4229,nan,nan,nan
4.1999999999999496,0.0002863978,34.70948,nan,nan,nan
4.399999999999949,0.0002861711,34.99413,nan,nan,nan
4.599999999999948,0.0002866245,35.28063,nan,nan,nan
4.799999999999947,0.0002856047,35.5657,nan,nan,nan
4.999999999999947,0.0002861711,35.85195,nan,nan,nan
5.199999999999946,0.0002860578,36.1366,nan,nan,nan
5.399999999999945,0.0002851514,36.42176,nan,nan,nan
5.599999999999945,0.0002859443,36.70622,nan,nan,nan
5.799999999999944,0.0002866244,36.99046,nan,nan,nan
5.999999999999943,0.0002866242,37.27488,nan,nan,nan
6.1999999999999424,0.0002858311,37.56001,nan,nan,nan
6.399999999999942,0.0002858311,37.84544,nan,nan,nan
6.599999999999941,0.0002863976,38.13106,nan,nan,nan
6.79999999999994,0.0002859442,38.41565,nan,nan,nan
6.99999999999994,0.000286511,38.69969,nan,nan,nan
7.199999999999939,0.0002859445,38.98385,nan,nan,nan
7.399999999999938,0.0002858312,39.2706,nan,nan,nan
7.5999999999999375,0.0002854913,39.55571,nan,nan,nan
7.799999999999937,0.0002863975,39.85453,nan,nan,nan
7.999999999999936,0.0002860579,40.13925,nan,nan,nan
8.199999999999935,0.0002862844,40.42589,nan,nan,nan
8.399999999999935,0.0002859444,40.71371,nan,nan,nan
8.599999999999934,0.0002858311,41.00018,nan,nan,nan
8.799999999999933,0.0002854911,41.28595,nan,nan,nan
8.999999999999932,0.0002861712,41.57269,nan,nan,nan
9.199999999999932,0.0002857179,41.85818,nan,nan,nan
9.399999999999931,0.0002854912,42.17961,nan,nan,nan
9.59999999999993,0.0002861711,42.46482,nan,nan,nan
9.79999999999993,0.0002860576,42.75107,nan,nan,nan
9.999999999999929,0.0002862843,43.03664,nan,nan,nan
9.8,0.0002856045,43.32352,nan,nan,nan
9.600000000000001,0.0002860578,43.60883,nan,nan,nan
9.400000000000002,0.0002856045,43.8953,nan,nan,nan
9.200000000000003,0.0002865107,44.18164,nan,nan,nan
9.000000000000004,0.0002861711,44.46781,nan,nan,nan
8.800000000000004,0.0002857178,44.75273,nan,nan,nan
8.600000000000005,0.0002854909,45.03934,nan,nan,nan
8.400000000000006,0.0002869644,45.3248,nan,nan,nan
8.200000000000006,0.0002858309,45.61175,nan,nan,nan
8.000000000000007,0.0002853778,45.89738,nan,nan,nan
7.800000000000008,0.0002861711,46.18964,nan,nan,nan
7.6000000000000085,0.0002861711,46.47432,nan,nan,nan
7.400000000000009,0.0002866243,46.76032,nan,nan,nan
7.20000000000001,0.000286171,47.04555,nan,nan,nan
7.000000000000011,0.0002857179,47.33116,nan,nan,nan
6.800000000000011,0.0002851514,47.61704,nan,nan,nan
6.600000000000012,0.0002857176,47.90315,nan,nan,nan
6.400000000000013,0.0002857177,48.18806,nan,nan,nan
6.2000000000000135,0.0002854913,48.51046,nan,nan,nan
6.000000000000014,0.0002852645,48.7955,nan,nan,nan
5.800000000000015,0.000285378,49.08183,nan,nan,nan
5.600000000000016,0.0002863976,49.36684,nan,nan,nan
5.400000000000016,0.0002862843,49.65378,nan,nan,nan
5.200000000000017,0.0002859445,49.94017,nan,nan,nan
5.000000000000018,0.0002863977,50.22641,nan,nan,nan
4.8000000000000185,0.0002849246,50.5113,nan,nan,nan
4.600000000000019,0.0002863976,50.79741,nan,nan,nan
4.40000000000002,0.0002866243,51.08261,nan,nan,nan
4.200000000000021,0.0002857179,51.36871,nan,nan,nan
4.000000000000021,0.0002861708,51.65411,nan,nan,nan
3.800000000000022,0.0002858308,51.93957,nan,nan,nan
3.6000000000000227,0.0002854911,52.22445,nan,nan,nan
3.4000000000000234,0.0002859442,52.5232,nan,nan,nan
3.200000000000024,0.0002854911,52.80823,nan,nan,nan
3.000000000000025,0.0002858311,53.09378,nan,nan,nan
2.8000000000000256,0.0002860577,53.37839,nan,nan,nan
2.6000000000000263,0.0002859443,53.66413,nan,nan,nan
2.400000000000027,0.0002860574,53.94997,nan,nan,nan
2.2000000000000277,0.0002860577,54.23647,nan,nan,nan
2.0000000000000284,0.0002863977,54.52125,nan,nan,nan
1.8000000000000291,0.000286171,54.84645,nan,nan,nan
1.6000000000000298,0.0002868509,55.13156,nan,nan,nan
1.4000000000000306,0.0002861711,55.41702,nan,nan,nan
1.2000000000000313,0.000285831,55.70218,nan,nan,nan
1.000000000000032,0.0002858308,55.98759,nan,nan,nan
0.8000000000000327,0.0002860577,56.27313,nan,nan,nan
0.6000000000000334,0.0002859444,56.55834,nan,nan,nan
0.4000000000000341,0.0002858307,56.84328,nan,nan,nan
0.20000000000003482,0.000285944,57.1287,nan,nan,nan
3.552713678800501e-14,0.0002866241,57.41394,nan,nan,nan
